ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B000N3SO9I","Dale Carnegie","How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry","Unknown","N/A","1","N/A","29.95","0.00",,,"716","4.5","5,549","669","n/a","n/a","n/a","1","n/a",,
"0312663153","Visit Amazon's Kristin Hannah Page","Winter Garden","Books","Amazon","29","AMZ","13.59","7.00","1,487","20,208.33","1,268","4.5","4,703","456","5.0x7.7x1.1","0.7","Large Standard-Size","1","n/a",,
"0399590501","Visit Amazon's Tara Westover Page","Educated: A Memoir","Books","Amazon","28","AMZ","15.17","8.98","5,131","77,837.27","156","4.5","29,191","4339","6.2x9.1x1.3","1.3","Large Standard-Size","1","n/a",,
"B082LNTGYP","Visit Amazon's Pamela M. Kelley Page","The Restaurant","Kindle Store","N/A","n/a","N/A","4.99","0.00",,,"134","4","3,212","0","n/a","n/a","n/a","1","n/a",,
"1982141468","Mary L. Trump Ph.D.","Too Much and Never Enough: How My Family Created the World's Most Dangerous Man","Books","Amazon","78","AMZ","16.80","9.00","10,608","178,214.40","62","4.5","53,502","23226","6.2x9.2x1.0","0.85","Large Standard-Size","2","n/a",,
"B07MRKPHKR","Kelly Rimmer","The Things We Cannot Say","Unknown","N/A","n/a","N/A","27.94","0.00",,,"86","4.5","2,514","407","n/a","n/a","n/a","1","n/a",,
"1328505685","Visit Amazon's A. J. Baime Page","The Accidental President: Harry S. Truman and the Four Months That Changed the World","Books","Amazon","32","AMZ","10.59","8.15","736","7,794.24","3,809","5","1,475","180","5.3x8.0x1.1","0.8","Large Standard-Size","2","n/a",,
"B07XZYV3WJ","DASH","DASH Safe Slice Mandoline for Vegetables, Meal Prep & More with Thickness Adjuster, Aqua","Kitchen & Dining","Amazon","13","AMZ","39.99","13.00","5,902","236,020.98","4,922","4.5","1,195","-273","6.4x13.7x6.0","2.34","Large Standard-Size","5","10/03/2019",,
"B084HP2FZD","($) MobileDemand","($) MobileDemand Flex 10B Rugged Touchscreen Tablet | Ultra Lightweight | 10.1-in Display | Windows 10 Pro | MIL-STD-810G |3000mAh Battery| Quad Core Celeron N4100 for Enterprise Mobile Field Work","($) Electronics","($) MobileDemand, LC","2","FBA","595.00","41.23","55","32,725.00","19,023","5","10","7","9.0x15.1x2.9","3.4","Large Standard-Size","5","02/05/2020",,
"B00ECHYTBI","($) Infant Optics","($) Infant Optics DXR-8 Video Baby Monitor with Interchangeable Optical Lens","($) Baby","($) Amazon","24","AMZ","165.99","30.00","6,363","1,056,194.37","173","4.5","40,506","1009","8.7x9.5x3.9","2.03","Large Standard-Size","12","n/a",,
